FacilityName,City,County,State,StreetAddress,Zip
AUSTIN POWDER CENTRAL STATES LLC - TULSA,Tulsa,Tulsa,OK,2803 East 46th Street North,74116
BRENNTAG SOUTHWEST -    17 - BSW SAND SPRINGS (S),SAND SPRINGS,TULSA,OK,206 E. MORROW RD.,74063
BUCKLEY POWDER CO - MILL CREEK SITE,Mill Creek,Johnston,OK,PO Box 59,74856
BUCKLEY POWDER CO - PRYOR SITE,Pryor,Mayes,OK,1259 S 437 Road,74362
Cassidy Grain Co. - Walker,Frederick,Tillman,OK,One Mile South of Frederick on Highway 183,73542
Cimarron Valley Cooperative,Perkins,Payne,OK,247 S Main,74059
CP Kelco,Okmulgee,Okmulgee,OK,1200 West 20th Street,74447
Crescent Cooperative Association,Crescent,Logan,OK,215 E Madison,73028
ELKHART COOPERATIVE EQUITY EXCHANGE-KEYES,KEYES,CIMARRON,OK,U.S. HWY 56,73947
England Fuel & Farm Supply LLC,Waurika,Jefferson,OK,613 South Railroad,73573
Farmers Coop Mill & Elevator Association,Mt. View,Kiowa,OK,217 N. 3rd,73062
Farmers Cooperative,Poteau,Le Flore,OK,204 N. Broadway,74953
Farmers Cooperative,Sallisaw,Sequoyah,OK,2504 West Cherokee St.,74955
Farmers Cooperative of Western Oklahoma,Custer City,Custer,OK,500 W Broadway,73639
Farmers Cooperative of Western Oklahoma,Clinton,Custer,ok,301 S. 1st,73601
Farmers Cooperative of Western Oklahoma,Butler,Custer,OK,205 S Olmstead,73625
Georgia-Pacific Consumer Operations LLC,Muskogee,Muskogee,OK,4901 Chandler Road,74403
"Harrison Gypsum, LLC - Bouse Junction",Waynoka,Major,OK,41763 S Cty Rd 2298,73860
"Harrison Gypsum, LLC - Cyril #2",Anadarko,Caddo,OK,Rt3 Box 112,73005
"Koch Fertilizer Enid, LLC - Enid OK Plant",Enid,Garfield,OK,1619 South 78th Street,73701
Oakley's Port 33,Catoosa,Rogers,OK,328 N. 321st East Ave.,74015
Orchid Paper Products,Pryor,Mayes,OK,4915 Hunt Street,74361
Orica--Mill Creek,Mill Creek,Johnston,OK,2.2 miles south of Mill Creek,73030
Premiere Chemical - Calumet Blend Plant,Calumet,Canadian,OK,17506 Hwy 270 West,73014
Premiere Chemical - Lindsay Yard,Lindsay,Garvin,OK,16494 Hwy 19,73052
Pryor Chemical Company,Pryor,Mayes,OK,4463 Hunt Street M.A.I.P.,74361
"REFRESCO U.S., INC.",FORT GIBSON,Muskogee,OK,1701 S. LEE STREET,74434
Sayre Crop and Farm Service,Sayre,Beckham,OK,700 W. Main,73662
Shawnee Milling Company - Cashion Grain and Feed,Cashion,Kingfisher,OK,P.O. Box 186,73016
Shawnee Milling Company Feed Center,Shawnee,Pottawatomie,OK,40006 Hardesty Road,74801
Shawnee Milling Company Roll Grain and Feed,Cheyenne,Roger Mills,OK,8445 US HWY 283,73638
Terra International (Oklahoma) LLC,Woodward,Woodward,OK,1000 Terra Drive,73801
"Terra Nitrogen, LP  -  Verdigris Plant",Claremore,Rogers,OK,6606 East 540 Road,74019
TWO RIVERS CONSUMER COOP,Marland,Noble,OK,213 S. Main,74644
Two Rivers Consumer Coop,Newkirk,Kay,OK,116 E. 6th Street - PO Box 250,74647
U S Lime Company - St Clair,Marble City,Sequoyah,OK,Highway 17 North,74945
Western Producers Cooperative,Sentinel,Washita,OK,100 S Howell,73664
Western Producers Cooperative,Dill City,Washita,OK,704 S Rambo,73624
Western Producers Cooperative,Rocky,Washita,OK,North U.S. Hwy 183,73661
